iter	Logloss
0	0.6861073244
1	0.6792228078
2	0.6725539478
3	0.666184697
4	0.6600903742
5	0.6541805966
6	0.6484615792
7	0.6429250989
8	0.6376958791
9	0.6325833046
10	0.6276932792
11	0.6228778029
12	0.6183106303
13	0.6139335827
14	0.6096536982
15	0.6054071659
16	0.6014398836
17	0.5976149605
18	0.5939152572
19	0.590306337
20	0.586894737
21	0.583552138
22	0.580231021
23	0.5771149339
24	0.574075615
25	0.5707377656
26	0.5677420028
27	0.5647025387
28	0.5621524972
29	0.55969144
30	0.5572746852
31	0.5549325804
32	0.5526512489
33	0.5504670605
34	0.5483591475
35	0.5462825893
36	0.5441749201
37	0.5417484343
38	0.5388681345
39	0.5360244359
40	0.5337865177
41	0.5308598876
42	0.5282453035
43	0.5259649173
44	0.5237181553
45	0.5216974893
46	0.5192289446
47	0.5169795048
48	0.5150323073
49	0.5127200676
50	0.5104786674
51	0.5085366004
52	0.5066250519
53	0.5050362397
54	0.5034222664
55	0.5016742568
56	0.4998790906
57	0.4985273799
58	0.4971290855
59	0.4954329175
60	0.4937930666
61	0.4922764575
62	0.4908061056
63	0.4894028314
64	0.4885363529
65	0.4872612111
66	0.4861430902
67	0.4853546418
68	0.4844184023
69	0.4831430389
70	0.4820451185
71	0.4810601445
72	0.4799956285
73	0.4790712604
74	0.4784588922
75	0.4774859315
76	0.4767222683
77	0.476050332
78	0.475248601
79	0.4743423315
80	0.4736116141
81	0.4728502684
82	0.4720463628
83	0.4713503369
84	0.4705307306
85	0.4698921074
86	0.4691961168
87	0.4688365224
88	0.4682255881
89	0.4678432323
90	0.4673498361
91	0.4668401417
92	0.4662618927
93	0.4656884409
94	0.4652185235
95	0.4647030432
96	0.4642005876
97	0.4636738017
98	0.4631828567
99	0.462579925
100	0.4622654295
101	0.4619177505
102	0.4615271109
103	0.4611293707
104	0.4608106326
105	0.4604445732
106	0.4600664016
107	0.4595998688
108	0.4591451955
109	0.45863918
110	0.4582027309
111	0.4580135534
112	0.4576346344
113	0.4571863841
114	0.4569141688
115	0.4566120391
116	0.4561664194
117	0.4558161034
118	0.4555663122
119	0.4554845188
120	0.455167878
121	0.4548524583
122	0.4544220479
123	0.4540152346
124	0.4537767561
125	0.4534725551
126	0.4531197073
127	0.4529952209
128	0.4528586597
129	0.4525268749
130	0.4522333083
131	0.4520368123
132	0.4517679585
133	0.4516934297
134	0.4515164432
135	0.4510006266
136	0.4506272939
137	0.4504214495
138	0.4502290789
139	0.4499929831
140	0.4496445403
141	0.4494721569
142	0.449332959
143	0.4489790114
144	0.4486918649
145	0.4484587213
146	0.4484292529
147	0.4481614156
148	0.4479358454
149	0.4478075674
150	0.4475919684
151	0.4471072321
152	0.4469346525
153	0.4467838405
154	0.4465918741
155	0.4462550891
156	0.4460488695
157	0.445869978
158	0.4455001979
159	0.4452069742
160	0.4449702618
161	0.4447707998
162	0.4445999712
163	0.4444315053
164	0.4440206536
165	0.4437119823
166	0.4436037778
167	0.4434520588
168	0.44317446
169	0.4430117614
170	0.4428085857
171	0.4426678745
172	0.4425360199
173	0.4423136108
174	0.4422129176
175	0.4421237486
176	0.4418679168
177	0.4417216489
178	0.4415880983
179	0.4414819758
180	0.4412803293
181	0.4411262378
182	0.4410157175
183	0.4408749541
184	0.4406477329
185	0.4405281861
186	0.4403579745
187	0.4400765803
188	0.4399473375
189	0.4396779131
190	0.4394242895
191	0.4390978201
192	0.4390053369
193	0.438883219
194	0.4386726407
195	0.4385107281
196	0.4384245471
197	0.4382062054
198	0.4381402245
199	0.4380803017
200	0.4377853558
201	0.4377020178
202	0.437584083
203	0.4374726645
204	0.4373611709
205	0.4373497232
206	0.4372883097
207	0.4372188923
208	0.4370713106
209	0.4370692779
210	0.4369084181
211	0.4368091491
212	0.4366625996
213	0.4365225683
214	0.4363893208
215	0.4362742361
216	0.4361039751
217	0.4360689881
218	0.4359251384
219	0.435579286
220	0.4355780702
221	0.4354715695
222	0.4354073847
223	0.4352185404
224	0.4352079103
225	0.4348524224
226	0.434500038
227	0.4343890235
228	0.4342747912
229	0.4341954572
230	0.4340903465
231	0.4340133967
232	0.4338889392
233	0.4338037739
234	0.4337139243
235	0.4336376011
236	0.4335442269
237	0.4335385064
238	0.4334395768
239	0.4333107201
240	0.433116251
241	0.4330851419
242	0.4330226798
243	0.4328325254
244	0.4327163303
245	0.4325655301
246	0.4324951868
247	0.4324873215
248	0.4323960274
249	0.4323725734
250	0.4322801834
251	0.432166979
252	0.432073651
253	0.4318025194
254	0.4317394705
255	0.4317230151
256	0.4317209466
257	0.4316348998
258	0.4314896093
259	0.4314241141
260	0.4312415799
261	0.4311932798
262	0.4309765124
263	0.4308681243
264	0.4307391924
265	0.4307366288
266	0.4306089703
267	0.4306073197
268	0.4306026026
269	0.430520428
270	0.4304143893
271	0.4302437715
272	0.4302217808
273	0.4301545273
274	0.4299890193
275	0.4299635357
276	0.4299624808
277	0.4298835993
278	0.4298146081
279	0.4297349281
280	0.4296525682
281	0.4295927022
282	0.4294645154
283	0.429354709
284	0.429244764
285	0.4292447592
286	0.4291773374
