iter	Passed	Remaining
404	8304	12200
405	8324	12178
406	8342	12154
407	8363	12135
408	8386	12118
409	8406	12097
410	8426	12076
411	8446	12054
412	8464	12030
413	8484	12009
414	8504	11988
415	8523	11966
416	8543	11944
417	8581	11949
418	8603	11929
419	8623	11908
420	8631	11870
421	8650	11847
422	8669	11825
423	8689	11804
424	8710	11785
425	8732	11765
426	8742	11732
427	8762	11710
428	8774	11679
429	8796	11660
430	8816	11638
431	8823	11601
432	8830	11562
433	8847	11538
434	8868	11518
435	8888	11498
436	8909	11478
437	8928	11455
438	8947	11434
439	8967	11413
440	8987	11392
441	9008	11372
442	9022	11344
443	9044	11325
444	9064	11304
445	9074	11272
446	9094	11251
447	9115	11231
448	9143	11220
449	9163	11200
450	9183	11179
451	9189	11140
452	9209	11120
453	9235	11106
454	9258	11089
455	9278	11069
456	9295	11044
457	9314	11023
458	9335	11003
459	9354	10981
460	9368	10953
461	9387	10932
462	9408	10911
463	9428	10891
464	9448	10871
465	9471	10853
466	9490	10832
467	9511	10812
468	9533	10794
469	9554	10773
470	9574	10753
471	9594	10732
472	9613	10711
473	9633	10690
474	9654	10670
475	9674	10650
476	9696	10631
477	9716	10611
478	9737	10591
479	9759	10572
480	9779	10552
481	9798	10530
482	9817	10509
483	9838	10488
484	9882	10494
485	9906	10477
486	9926	10456
487	9945	10435
488	9965	10413
489	9984	10392
490	10004	10370
491	10025	10351
492	10045	10330
493	10064	10308
494	10083	10287
495	10103	10266
496	10124	10246
497	10153	10235
498	10175	10215
499	10194	10194
500	10214	10173
501	10235	10154
502	10254	10131
503	10274	10111
504	10294	10091
505	10314	10069
506	10336	10050
507	10356	10030
508	10375	10008
509	10395	9988
510	10415	9967
511	10435	9946
512	10454	9924
513	10474	9903
514	10495	9884
515	10517	9865
516	10539	9846
517	10561	9827
518	10580	9806
519	10600	9785
520	10620	9764
521	10639	9742
522	10658	9721
523	10677	9699
524	10686	9668
525	10705	9647
526	10724	9625
527	10745	9605
528	10766	9585
529	10789	9567
530	10809	9547
531	10828	9525
532	10847	9504
533	10868	9484
534	10888	9463
535	10908	9443
536	10928	9422
537	10947	9401
538	10967	9380
539	10987	9360
540	11012	9343
541	11032	9322
542	11052	9302
543	11072	9281
544	11091	9260
545	11111	9239
546	11131	9218
547	11151	9197
548	11181	9185
549	11203	9166
550	11227	9148
551	11246	9127
552	11266	9107
553	11287	9087
554	11307	9066
555	11327	9045
556	11347	9024
557	11367	9004
558	11386	8982
559	11406	8962
560	11426	8941
561	11447	8921
562	11467	8901
563	11487	8880
564	11507	8859
565	11528	8839
566	11547	8818
567	11569	8798
568	11588	8777
569	11599	8750
570	11619	8729
571	11640	8710
572	11661	8690
573	11681	8669
574	11701	8648
575	11721	8627
576	11740	8606
577	11759	8585
578	11779	8565
579	11801	8545
580	11820	8524
581	11840	8504
582	11860	8483
583	11881	8463
584	11900	8442
585	11920	8421
586	11940	8400
587	11959	8379
588	11979	8359
589	11998	8337
590	12017	8316
591	12036	8295
592	12056	8274
593	12076	8254
594	12097	8234
595	12117	8213
596	12136	8192
597	12156	8171
598	12183	8156
599	12207	8138
600	12227	8117
601	12246	8096
602	12266	8075
603	12286	8055
604	12306	8035
605	12328	8015
606	12348	7994
607	12367	7973
608	12387	7953
609	12407	7932
610	12425	7910
611	12445	7890
612	12465	7869
613	12485	7849
614	12504	7828
615	12527	7809
616	12547	7788
617	12566	7767
618	12587	7747
619	12600	7722
620	12619	7701
621	12639	7681
622	12658	7660
623	12678	7639
624	12698	7618
625	12718	7598
626	12739	7578
627	12760	7558
628	12779	7537
629	12798	7516
630	12817	7495
631	12838	7475
632	12880	7467
633	12916	7456
634	12942	7439
635	12968	7422
636	12996	7406
637	13019	7387
638	13043	7368
639	13062	7347
640	13085	7328
641	13109	7310
642	13129	7289
643	13155	7272
644	13182	7255
645	13221	7245
646	13245	7226
647	13267	7207
648	13288	7187
649	13310	7167
650	13334	7148
651	13357	7129
652	13382	7111
653	13409	7094
654	13432	7075
655	13459	7057
656	13483	7039
657	13504	7018
658	13528	7000
659	13552	6981
660	13571	6960
661	13591	6939
662	13611	6918
663	13633	6898
664	13652	6877
665	13672	6856
666	13692	6835
667	13711	6814
668	13732	6794
669	13751	6773
670	13770	6751
671	13789	6730
672	13810	6710
673	13831	6690
674	13854	6670
675	13874	6649
676	13885	6625
677	13905	6604
678	13924	6582
679	13943	6561
680	13963	6540
681	13981	6519
682	14001	6498
683	14021	6477
684	14040	6456
685	14063	6437
686	14084	6416
687	14103	6395
688	14122	6374
689	14144	6354
690	14164	6334
691	14184	6313
692	14205	6293
693	14234	6276
694	14255	6256
695	14277	6235
696	14296	6215
697	14316	6194
698	14337	6173
699	14359	6153
700	14378	6132
701	14397	6111
702	14416	6090
703	14435	6069
704	14456	6049
705	14476	6028
706	14498	6008
707	14517	5987
708	14537	5966
709	14557	5945
710	14576	5924
711	14595	5903
712	14614	5882
713	14634	5861
714	14658	5842
715	14693	5828
716	14727	5813
717	14761	5797
718	14795	5782
719	14824	5764
720	14860	5750
721	14895	5735
722	14929	5719
723	14965	5705
724	15000	5689
725	15036	5674
726	15060	5655
727	15078	5633
728	15098	5612
729	15117	5591
730	15137	5570
731	15156	5549
732	15179	5529
733	15199	5508
734	15220	5487
735	15247	5469
736	15271	5449
737	15291	5428
738	15310	5407
739	15329	5386
740	15349	5365
741	15373	5345
742	15394	5324
743	15414	5303
744	15434	5282
745	15454	5261
746	15474	5240
747	15493	5219
748	15513	5198
749	15533	5177
750	15552	5156
751	15571	5135
752	15593	5114
753	15613	5094
754	15633	5073
755	15653	5052
756	15672	5031
757	15692	5010
758	15712	4988
759	15730	4967
760	15750	4946
761	15771	4926
762	15794	4905
763	15817	4886
764	15838	4865
765	15859	4844
766	15883	4825
767	15905	4804
768	15929	4784
769	15952	4765
770	15978	4746
771	16002	4726
772	16027	4706
773	16051	4686
774	16073	4666
775	16095	4646
776	16118	4625
777	16141	4605
778	16163	4585
779	16184	4564
780	16205	4544
781	16222	4522
782	16245	4502
783	16277	4484
784	16298	4464
785	16318	4442
786	16338	4422
787	16357	4400
788	16381	4380
789	16414	4363
790	16449	4346
791	16483	4328
792	16515	4311
793	16549	4293
794	16583	4276
795	16608	4256
796	16629	4235
797	16650	4214
798	16672	4194
799	16692	4173
800	16713	4152
801	16732	4131
802	16751	4109
803	16772	4088
804	16792	4067
805	16813	4046
806	16832	4025
807	16851	4004
808	16870	3983
809	16890	3962
810	16912	3941
811	16933	3920
812	16954	3899
813	16974	3878
814	16993	3857
815	17013	3836
816	17033	3815
817	17053	3794
818	17072	3773
819	17092	3751
820	17112	3730
821	17134	3710
822	17156	3689
823	17178	3669
824	17198	3648
825	17218	3627
826	17238	3606
827	17257	3584
828	17287	3565
829	17312	3545
830	17332	3524
831	17354	3504
832	17379	3484
833	17400	3463
834	17422	3442
835	17444	3422
836	17469	3402
837	17508	3384
838	17539	3365
839	17581	3348
840	17612	3329
841	17640	3310
842	17668	3290
843	17695	3270
844	17720	3250
845	17749	3230
846	17778	3211
847	17803	3191
848	17831	3171
849	17856	3151
850	17880	3130
851	17903	3109
852	17929	3089
853	17953	3069
854	17978	3048
855	18002	3028
856	18024	3007
857	18044	2986
858	18067	2965
859	18090	2945
860	18113	2924
861	18136	2903
862	18162	2883
863	18191	2863
864	18215	2842
865	18240	2822
866	18264	2801
867	18287	2780
868	18317	2761
869	18343	2740
870	18363	2719
871	18383	2698
872	18403	2677
873	18426	2656
874	18447	2635
875	18467	2614
876	18487	2592
877	18506	2571
878	18526	2550
879	18546	2529
880	18566	2507
881	18592	2487
882	18625	2467
883	18661	2448
884	18695	2429
885	18729	2409
886	18764	2390
887	18798	2370
888	18819	2349
889	18839	2328
890	18864	2307
